bread,,,,,,,,,,
alfajores,,,,,,,,,,
sandwich,tea,,,,,,,,,
tea,bread,,,,,,,,,
bread,coffee,pastry,,,,,,,,
coffee,coffee,muffin,alfajores,empanadas,,,,,,
coffee,,,,,,,,,,
bread,,,,,,,,,,
coffee,,,,,,,,,,
coffee,,,,,,,,,,
bread,,,,,,,,,,
bread,pastry,medialuna,tea,,,,,,,
tea,bread,,,,,,,,,
muffin,,,,,,,,,,
coffee,muffin,,,,,,,,,
coffee,bread,pastry,medialuna,,,,,,,
coffee,coffee,muffin,,,,,,,,
muffin,hot chocolate,scandinavian,bread,,,,,,,
farm house,,,,,,,,,,
muffin,,,,,,,,,,
coffee,,,,,,,,,,
bread,,,,,,,,,,
coffee,coffee,cookies,,,,,,,,
coffee,coffee,,,,,,,,,
muffin,,,,,,,,,,
coffee,tea,keeping it local,,,,,,,,
coffee,medialuna,,,,,,,,,
bread,,,,,,,,,,
tartine,scandinavian,,,,,,,,,
coffee,tea,,,,,,,,,
bread,,,,,,,,,,
coffee,coke,,,,,,,,,
coffee,muffin,,,,,,,,,
coffee,bread,coffee,medialuna,muffin,scandinavian,,,,,
bread,,,,,,,,,,
coke,,,,,,,,,,
bread,scandinavian,,,,,,,,,
coffee,,,,,,,,,,
bread,,,,,,,,,,
scandinavian,bread,,,,,,,,,
fudge,fudge,,,,,,,,,
soup,hearty & seasonal,coffee,,,,,,,,
coke,,,,,,,,,,
coffee,cookies,tea,,,,,,,,
pastry,tea,coffee,,,,,,,,
bread,,,,,,,,,,
coffee,medialuna,,,,,,,,,
coffee,coffee,muffin,sandwich,soup,,,,,,
tea,coffee,muffin,,,,,,,,
alfajores,,,,,,,,,,
bread,,,,,,,,,,
coffee,medialuna,,,,,,,,,
coffee,,,,,,,,,,
coffee,,,,,,,,,,
medialuna,,,,,,,,,,
empanadas,bread,scandinavian,,,,,,,,
coffee,tartine,,,,,,,,,
tea,,,,,,,,,,
scandinavian,,,,,,,,,,
