bread,,,,,,,,,,
coffee,alfajores,,,,,,,,,
alfajores,pastry,,,,,,,,,
alfajores,,,,,,,,,,
pastry,tea,alfajores,hearty & seasonal,,,,,,,
tea,sandwich,,,,,,,,,
empanadas,tea,,,,,,,,,
alfajores,alfajores,tea,,,,,,,,
alfajores,,,,,,,,,,
pastry,dulce de leche,,,,,,,,,
coffee,pastry,,,,,,,,,
farm house,coffee,,,,,,,,,
bread,scandinavian,medialuna,,,,,,,,
bread,,,,,,,,,,
pastry,tea,alfajores,,,,,,,,
pastry,coffee,,,,,,,,,
bread,pastry,muffin,farm house,,,,,,,
medialuna,tea,,,,,,,,,
